title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Heavy Seas Interfere With Building of Traps","The Daily News ","1906-05-22","","Settlement; Traps; Fishing","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/new_west_1906_1_2_4_th.jpg","http://localhost:4000/JRWA-Archive/objects/new_west_1906_1_2_4.pdf",/JRWA-Archive/items/jr-np-s_018.html
"Wrecked Lumber Schooner","The Daily Telegram","1894-01-23","","Settlement; Shipwreck","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7_th.jpg","http://localhost:4000/JRWA-Archive/objects/nnmo_daytele_1894_body_in_surf_at_lost_river_pg2col1para7.pdf",/JRWA-Archive/items/jr-np-s_019.html
"Rambled Round Victoria","The Victoria Daily Times","1923-09-29","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/the_victoria_daily_times_1923_09_29_17_rambles_around_victoria_th.jpg","http://localhost:4000/JRWA-Archive/objects/the_victoria_daily_times_1923_09_29_17_rambles_around_victoria.pdf",/JRWA-Archive/items/jr-np-s_021.html
"Bullets in Shoulder Only the Beginning of Hr Nightmare","Derek Sidenius ","1975-02-28","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_fri_feb_28_1975_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_fri_feb_28_1975.pdf",/JRWA-Archive/items/jr-np-s_022.html
"Jordan Solar and Energy Storage","","","","Settlement; Solar; Map; Energy Storage","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva_th.jpg","http://localhost:4000/JRWA-Archive/objects/final_jordan_solar_initial_project_description_and_early_engagement_plan_19dec23_deva.pdf",/JRWA-Archive/items/jr-np-s-solar_001.html
"Jordan Solar and Energy Storage Project","","2023-12","","Settlement; Solar; Energy Storage","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jordan_solar_location_th.jpg","http://localhost:4000/JRWA-Archive/objects/jordan_solar_location.pdf",/JRWA-Archive/items/jr-np-s-solar_002.html
"Save Estuaries and you save people from starving","Moira Farrow","1975-1-4","","Estuaries; Ecology; Logging; Hydroelectric; Mining","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving_th.jpg","http://localhost:4000/JRWA-Archive/objects/1975_vancouver_jan_4_save_estuaries_and_you_save_people_from_starving.pdf",/JRWA-Archive/items/jr-np-ra_002.html
"Should rivers have the same rights as
people?","Patrick Barkham","2021-07-25","","Ecology; Environmentalism; Hydrology; Indigenous Peoples","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian_th.jpg","http://localhost:4000/JRWA-Archive/objects/barkham_2021_should_rivers_have_the_same_rights_as_people_in_guardian.pdf",/JRWA-Archive/items/jr-np-ra-other_001.html
"Who is watching B.C.&#39;s environmental watch dogs?","Anne Casselman","2015-07-14","","Compromised Environmentalism; Ecology","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness_th.jpg","http://localhost:4000/JRWA-Archive/objects/casselman_2_15_who_is_watching_bcs_environmental_watch_dogs_in_bcbusiness.pdf",/JRWA-Archive/items/jr-np-ra-other_002.html
"Can public awareness, knowledge and engagement improve climate change adaptation policies?","Farzaneh Shaikh Khatibi; Aysin Dedekorkut‑Howes; Michael Howes; Elnaz Torabi","2021-02-25","","Public involvement; Citizen participation; Local and traditional knowledge","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/khatibi_2021_discoverarticle_can_public_awareness_knowledge_th.jpg","http://localhost:4000/JRWA-Archive/objects/khatibi_2021_discoverarticle_can_public_awareness_knowledge.pdf",/JRWA-Archive/items/jr-np-ra-other_003.html
