title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Spec Calls for Hearing on Mine Application","Canadian Press","1971-04-06","","Mining; Pollution; Hearing; Discharge; Recreation; Ecology","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_april_6_1971_province_spec_calls_for_hearing_on_mine_application_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_april_6_1971_province_spec_calls_for_hearing_on_mine_application.pdf",/JRWA-Archive/items/jr-np-m-1970-80_014.html
"Mine Dump Heating Up in Air","Don Vipond","1971-04-17","","Mining; Pollution; Hearing; Discharge; Recreation; Ecology; Protest","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_april_17_1971_mine_dump_hearing_up_in_air_times_colonist_1971_04_17_23_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_april_17_1971_mine_dump_hearing_up_in_air_times_colonist_1971_04_17_23.pdf",/JRWA-Archive/items/jr-np-m-1970-80_015.html
"Rigid Controls Police Sunro Strait Dumping","Times Colonist","1971-08-10","","Mining; Pollution Control; Mine Reopening; Pollution Monitoring; Cyanide; Discharge Pipe","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_10_1971_rigid_controls_police_sunros_strait_dumping_times_colonist_1971_08_10_5_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_10_1971_rigid_controls_police_sunros_strait_dumping_times_colonist_1971_08_10_5.pdf",/JRWA-Archive/items/jr-np-m-1970-80_016.html
"Dison Gets Permit to Dump Effluent","The Vancouver Sun","1971-08-11","","Mining; Pollution Control; Mine Reopening; Pollution Monitoring; Cyanide; Discharge Pipe","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_11_1971_dison_gets_permit_to_dump_effluent_the_vancouver_sun_1971_08_11_38_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_11_1971_dison_gets_permit_to_dump_effluent_the_vancouver_sun_1971_08_11_38.pdf",/JRWA-Archive/items/jr-np-m-1970-80_017.html
"Sunro to Start Hiring For Quick Production","Times Colonist","1971-08-11","","Mining; Labor; Pollution Control; Pollution Monitoring; Heavy Metals","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_11_1971_sunro_to_start_hiring_for_quick_production_times_colonist_1971_08_11_1_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_11_1971_sunro_to_start_hiring_for_quick_production_times_colonist_1971_08_11_1.pdf",/JRWA-Archive/items/jr-np-m-1970-80_018.html
"Mine Will Reopen","Daily Colonist","1971-08-12","","Mining; Pollution Control; Mine Reopening; Cyanide; Discharge Pipe","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_12_1971_times_colonist_mine_will_reopen_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_12_1971_times_colonist_mine_will_reopen.pdf",/JRWA-Archive/items/jr-np-m-1970-80_019.html
"Man of a Passing Race","AB Kent","1973-08-21","","Mining; Prospecting; Hydroelectric; Settlement; Copper; Iron","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_21_1973_george_winkler_man_of_a_passing_race_times_colonist_1973_08_21_17_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_21_1973_george_winkler_man_of_a_passing_race_times_colonist_1973_08_21_17.pdf",/JRWA-Archive/items/jr-np-m-1970-80_020.html
"Jordan River Mine Operators Bid for VSE Reinstatement","Al Forester","1973-08-28","","Mining; Dison International; Vancouver Stock Exchange; Finance; Hydroelectric","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_august_28_1973_jordan_river_mine_operators_bid_for_svse_reinstatement_times_colonist_1973_08_28_9_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_august_28_1973_jordan_river_mine_operators_bid_for_svse_reinstatement_times_colonist_1973_08_28_9.pdf",/JRWA-Archive/items/jr-np-m-1970-80_021.html
"Mine Company Fined","The Vancouver Sun","1973-12-14","","Mining; FIne; Pollution; Copper Pollution; Tailings; ","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_december_14_1973_vancouver_sun_mining_company_fined_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_december_14_1973_vancouver_sun_mining_company_fined.pdf",/JRWA-Archive/items/jr-np-m-1970-80_023.html
"George Winkler discovered Jordan River Mine with a Pickaxe and a Backpack","Patly Pitts","1974-02-22","","Mining; George Winkler; Prospecting; Settlement; ","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_february_22_1974_victorian_george_winkler_discovered_jordan_river_mine_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_february_22_1974_victorian_george_winkler_discovered_jordan_river_mine.pdf",/JRWA-Archive/items/jr-np-m-1970-80_024.html
"SPEC seeking freedom of information act ","The Vancouver Sun","1978-01-09","","Mining; Scientific Pollution and Environmental Control Society","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_january_9_1978_vancouver_sun_spec_seeking_foi_act_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_january_9_1978_vancouver_sun_spec_seeking_foi_act.pdf",/JRWA-Archive/items/jr-np-m-1970-80_025.html
"Board Approves Dump of Tailings","Times Colonist","1971-07-05","","Mining; Dison Development Ltd.; Tailings; Dumping; Pollution","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_july_5_1971_times_colonist_board_approves_dumping_of_tailings_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_july_5_1971_times_colonist_board_approves_dumping_of_tailings.pdf",/JRWA-Archive/items/jr-np-m-1970-80_026.html
"Key Man Advised to Sit Out Hearings","","1971-07-07","","Mining; William Venables; Food Chain; Pollution; Tailings","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_july_7_1971_key_man_advised_to_sit_our_hearings_daily_colonist_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_july_7_1971_key_man_advised_to_sit_our_hearings_daily_colonist.pdf",/JRWA-Archive/items/jr-np-m-1970-80_027.html
"First Clean the House","The Vancouver Sun","1971-07-09","","Mining; Pollution Permit; Pollution Control","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_july_9_1971_vancouver_sun_first_clean_the%20house_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_july_9_1971_vancouver_sun_first_clean_the%20house.pdf",/JRWA-Archive/items/jr-np-m-1970-80_028.html
"Mine Dump Bid Refused","Dom Vipond","1971-07-01","","Mining; Pollution Permit Rejection; William Venables","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_1_1971_mine_dump_bid_refused_times_colonist_1971_06_01_2_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_1_1971_mine_dump_bid_refused_times_colonist_1971_06_01_2.pdf",/JRWA-Archive/items/jr-np-m-1970-80_030.html
"Island Mine Discharge Disallowed by Official","The Province","1971-06-02","","Mining; Pollution Permit Rejection; William Venables; Tailings","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_2_1971_island_mine_discharge_disallowed_by_official_the_province_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_2_1971_island_mine_discharge_disallowed_by_official_the_province.pdf",/JRWA-Archive/items/jr-np-m-1970-80_031.html
"Another Side Exists to Sunro Decision","Dom Vipond","1971-06-04","","Mining; Reopening Mine; Effluent; Pollution Control; Cyanide","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_4_1971_another_side_exists_to_sunro_decision_times_colonist_1971_06_04_21_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_4_1971_another_side_exists_to_sunro_decision_times_colonist_1971_06_04_21.pdf",/JRWA-Archive/items/jr-np-m-1970-80_032.html
"Developer to Appeal Mine Ruling","Times Colonist","1971-06-08","","Mining; Reopening Mine; Effluent; Pollution Control; Cyanide; Dison Development Ltd. ","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_8_1971_times_colonist_mine_developers_to_appeal_mine_ruling_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_8_1971_times_colonist_mine_developers_to_appeal_mine_ruling.pdf",/JRWA-Archive/items/jr-np-m-1970-80_034.html
"Hearing Set for June 29 On Sunro Mine Appeal","Times Colonist","1971-06-09","","Mining; Pollution Control Board; William Venables; Tailings","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_9_1971_times_colonist_hearing_set_for_sunro_mine_appeal_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_9_1971_times_colonist_hearing_set_for_sunro_mine_appeal.pdf",/JRWA-Archive/items/jr-np-m-1970-80_035.html
"150 Jobs Waiting Mine Boss Claims ","The Vancouver Sun","1971-06-11","","Mining; Labor; Pollution Control Board; Dison Development Ltd.; Tailings; Copper; Effluent","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_11_1971_150_jogs_waiting_mine_boss_claims_the_vancouver_sun_1971_06_11_29_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_11_1971_150_jogs_waiting_mine_boss_claims_the_vancouver_sun_1971_06_11_29.pdf",/JRWA-Archive/items/jr-np-m-1970-80_036.html
"","","","","Mining; ","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_14_1971_your_15500_letters_protesting_pollution_deluged_this-man_the_vancouver_sun_1971_01_14_6_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_14_1971_your_15500_letters_protesting_pollution_deluged_this-man_the_vancouver_sun_1971_01_14_6.pdf",/JRWA-Archive/items/jr-np-m-1970-80_037.html
"Petition Seeks Reversal of Discharge Decision","Times Colonist","1971-06-16","","Mining; Fishing; Pollution Management; Conservation; Hearing; Pollution Control Board","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_june_16_1971_times_colonist_petition_seeks_reversal_of_discharge_decision_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_june_16_1971_times_colonist_petition_seeks_reversal_of_discharge_decision.pdf",/JRWA-Archive/items/jr-np-m-1970-80_038.html
"","","","","Mining; Mining Technique; Wages; George Winkler","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_march_7_1975_times_colonist_scramble_for_jobs_pays_off_for_29_from_jordan_river_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_march_7_1975_times_colonist_scramble_for_jobs_pays_off_for_29_from_jordan_river.pdf",/JRWA-Archive/items/jr-np-m-1970-80_040.html
"Rock Hides Wet Frenzy ","The Victoria Express","1974-03-28","","Mining; Mining Technique; Wages; George Winkler","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_march_28_1974_rocks_hide_wet_frenzy_the_mine_runs_uphill_victoria_express_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_march_28_1974_rocks_hide_wet_frenzy_the_mine_runs_uphill_victoria_express.pdf",/JRWA-Archive/items/jr-np-m-1970-80_041.html
"Sunro - Rebirth Pains Coming on Strong","AB Kent","1971-05-19","","Mining; Pollution Disposal; Mining; Dison Development Ltd.; Tailings; Dumping; Pollution; Ecological Damage","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_may_19_1971_sunro_rebirth_pains_coming_on_strong_times_colonist_1971_05_19_9_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_may_19_1971_sunro_rebirth_pains_coming_on_strong_times_colonist_1971_05_19_9.pdf",/JRWA-Archive/items/jr-np-m-1970-80_042.html
"Island Hard-Luck Mine Reviving  ","R.M. Shaw","1971-05-22","","Mining; Mine Reopening; Labor; Investment; Financing; Dison Development Ltd.","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_may_22_1971_island_hard_luck_mine_reviving_the_province_1971_05_22_20_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_may_22_1971_island_hard_luck_mine_reviving_the_province_1971_05_22_20.pdf",/JRWA-Archive/items/jr-np-m-1970-80_044.html
"Mine Going Concern, Except at the Bank","Bob Shaw","1974-10-02","","Mining; Mineral Royalties Act; Financing","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_october_2_1974_mine_goin_concern_except_a_the_bank_the_province_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_october_2_1974_mine_goin_concern_except_a_the_bank_the_province.pdf",/JRWA-Archive/items/jr-np-m-1970-80_045.html
"Mine May Reopen Soon","Victoria Colonist","1970-09-01","","Mining; Mine Reopening; Labor; Investment; Financing; Dison Development Ltd.","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_september_1_1970_mine_may_open_soon_victoria_colonist_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_september_1_1970_mine_may_open_soon_victoria_colonist.pdf",/JRWA-Archive/items/jr-np-m-1970-80_046.html
"Four Firms to Revive Cowichan","The Province","1970-09-18","","Mining; Mine Reopening; Investment; Financing","","","","","","pdf","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sunro_september_18_1970_four_firm_%20to_revive_cowichan_the_province_1970_09_18_24_th.jpg","http://localhost:4000/JRWA-Archive/objects/sunro_september_18_1970_four_firm_%20to_revive_cowichan_the_province_1970_09_18_24.pdf",/JRWA-Archive/items/jr-np-m-1970-80_047.html
"Water Use Program Review","","","","","","","","","","record","","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ns_energy_2005_finding_the_right_balance__jr_wup_th.jpg","",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html
"Finding the right balance","NS Energy Staff Writer","2005-09-14","","Hydroelectric; B.C. Hydro; Water Use Program; Water Use Plan; B.C. Hydro","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ns_energy_2005_finding_the_right_balance__jr_wup_th.jpg","http://localhost:4000/JRWA-Archive/objects/ns_energy_2005_finding_the_right_balance__jr_wup.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_001
"Run-of-River Hydropower in BC","Watershed Watch ","2007-08","","Hydroelectric; B.C. Hydro; Water Use Program; Salmon; Ecology ","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rorcitizensguide_th.jpg","http://localhost:4000/JRWA-Archive/objects/rorcitizensguide.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_002
"","","","","Hydroelectric; B.C. Hydro; Water Use Program","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/thuncher_squamish_chief_2019_bc_hydro_is_proactive_and_adaptive_company_says_of_squamish_operations_th.jpg","http://localhost:4000/JRWA-Archive/objects/thuncher_squamish_chief_2019_bc_hydro_is_proactive_and_adaptive_company_says_of_squamish_operations.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_003
"Finding the right balance","","2005-09-14","","Hydroelectric; B.C. Hydro; Water Use Program","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/water_power_magazine_2005_finding_the_right_balance_th.jpg","http://localhost:4000/JRWA-Archive/objects/water_power_magazine_2005_finding_the_right_balance.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_004
"","","","","Hydroelectric; B.C. Hydro; Water Use Program","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/watershed_watch_2004_preliminary_review_of_fisheries_concervation_gains_withing_bc_hydro's_wup_process_th.jpg","http://localhost:4000/JRWA-Archive/objects/watershed_watch_2004_preliminary_review_of_fisheries_concervation_gains_withing_bc_hydro's_wup_process.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_005
"Independent Power Producer(IPP) Projects in British Columbia","West Coast Environmental Law","2009-05","","Hydroelectric; B.C. Hydro; Water Use Program; Climate Change; Independent Power Producers","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/weatco1_th.jpg","http://localhost:4000/JRWA-Archive/objects/weatco1.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_007
"Water for Power, Water for Nature The Story of BC Hydro’s Water Use Planning Program","James Mattison ","2014-10","","Hydroelectric; B.C. Hydro; Water Use Program","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/wwf_canada_2014_water_forpower_water_for_nature_the_story_of_bc_hydro's_wup_program_th.jpg","http://localhost:4000/JRWA-Archive/objects/wwf_canada_2014_water_forpower_water_for_nature_the_story_of_bc_hydro's_wup_program.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_008
"&quot;A clean future powered by &quot;water” – BC Hydro’s new 5-year plan","Anthony Capkun","2022-02-16","","Hydroelectric; B.C. Hydro; Water Use Program; Electrification","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/capkum_electrical_business_2021_a_clean_future_powered_by_water__bc_hydro%E2%80%99s_new_5year_plan_th.jpg","http://localhost:4000/JRWA-Archive/objects/capkum_electrical_business_2021_a_clean_future_powered_by_water__bc_hydro%E2%80%99s_new_5year_plan.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_009
"BC Government and BC Hydro launch Cve-year electrification plan, focused on hydro","Elizabeth Ingram","2021-09-29","","Hydroelectric; B.C. Hydro; Water Use Program; Electrification","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ingram1_th.jpg","http://localhost:4000/JRWA-Archive/objects/ingram1.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_010
"Running On Empty: Shifting to a Sustainable Energy Plan for BC","Dale Marshall","2004-08","","Hydroelectric; B.C. Hydro; Water Use Program; Energy Plan; Water Use Plan","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/marshall_2004_runningonemptyshiftingtosustainableenergyplanb.c._th.jpg","http://localhost:4000/JRWA-Archive/objects/marshall_2004_runningonemptyshiftingtosustainableenergyplanb.c..pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_011
"Sustainable hydropower in the 21st century","Emilio F. Moran et al.","2018-09-25","","Hydroelectric; B.C. Hydro; Ecological Damage; ","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/moran_2018_pnas_sustainable_hydropower_in_the_21st_century_th.jpg","http://localhost:4000/JRWA-Archive/objects/moran_2018_pnas_sustainable_hydropower_in_the_21st_century.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_bc_hydro_water_use_program_review.html#jrwa_docs_powergeneration_bc_hydro_water_use_program_review_012
"Continued Monitoring of the Constructed Wetland at Diversion Reservoir, Jordan River Watershed, Southern Vancouver Island","Krysia Tuttle","2013-03-31","","Hydroelectric; B.C. Hydro; Ecology; Watershed; Study; Survey; Wetland; Vegetation; Revegetation; Logging ","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tuttle_2013_upper_jordan_river_marsh_study_th.jpg","http://localhost:4000/JRWA-Archive/objects/tuttle_2013_upper_jordan_river_marsh_study.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_001.html
"JOR Supply of Station Service Transformer","","2024","","Jordan River Hydro Other Reports; Hydroelectric","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/merx_2024_supply_of_station_service_transformer_th.jpg","http://localhost:4000/JRWA-Archive/objects/merx_2024_supply_of_station_service_transformer.png",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_002.html
"Black Bear Shows Interest in Artificial Dens","Sam Cooper","2014-12-04","","Ecology; Bears; Habitat; Hydroelectric","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/the_province_2014_11_30_20_black_bears_th.jpg","http://localhost:4000/JRWA-Archive/objects/the_province_2014_11_30_20_black_bears.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_003.html
"Hydroelectric: Gravel Reports","","","","Hydroelectric; Fish; Salmon","","","","","","record","","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jones_2015_design_and_work_plans_for_gravel_placement_in_jr_fwcp_proposal_th.jpg","",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravell.html
"Design and Work Plans for Gravel Placement in Jordan River","Helen Jones et al.","2015-11-06","","Hydroelectric; Gravel; Project Proposal; Spawning","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jones_2015_design_and_work_plans_for_gravel_placement_in_jr_fwcp_proposal_th.jpg","http://localhost:4000/JRWA-Archive/objects/jones_2015_design_and_work_plans_for_gravel_placement_in_jr_fwcp_proposal.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravell.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravel_001
"Sand and Gravel Management and Fish-Habitat Protection in British Columbia Salmon and Steelhead Streams","Dr. Marvin L. Rosenau","2000","","Hydroelectric; MIning; Floodplain; Sediments; Spawning: Flow Management; Fish; Water Temperature; Bioenergetics; Bed Scouring; Erosion; Food Supply; Gravel; Salmon","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rosenau_2000_sand_and_gravel_management_and_rish_habitat_protection_in_bc_th.jpg","http://localhost:4000/JRWA-Archive/objects/rosenau_2000_sand_and_gravel_management_and_rish_habitat_protection_in_bc.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravell.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravel_002
"Spawning Gravel Placements in Ash and Nanaimo River Watersheds, Vancouver Island","Brad Smith","2004-03","","Hydroelectric;","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/smith__2004_spawning_gravel_placements_in_ash_and_nanaimo_river_watersheds_th.jpg","http://localhost:4000/JRWA-Archive/objects/smith__2004_spawning_gravel_placements_in_ash_and_nanaimo_river_watersheds.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravell.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravel_003
"Validation of the Flow Management Pathway: Effects of Altered Flow on Fish Habitat and Fishes Downstream from a Hydropower Dam.","Keith D. Clarke et al.","2008","","Hydroelectric; MIning; Floodplain; Sediments; Spawning: Flow Management; Fish; Water Temperature; Bioenergetics; Bed Scouring; Erosion; Food Supply; Gravel; Salmon","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/clark_2008_validation_of_the_flow_management_pathway_th.jpg","http://localhost:4000/JRWA-Archive/objects/clark_2008_validation_of_the_flow_management_pathway.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravell.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_gravel_004
"Hydroelectric: Hydro Pesticide","","","","Hydroelectric; Herbicide; Hydro Pesticide; 2:4-D; Red Alder; Labor; Workers; Criminal Case; Protest ; Tordon 10K","","","","","","record","","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tc_1980_hydro_backs_off_on_24d_plans_th.jpg","",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html
"Hydro Backs off on 2,4-D Plans","Brenda Dalglish","1980-07-10","","Hydroelectric; 2:4-D; Sooke; Protest; Hydro Pesticide;","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tc_1980_hydro_backs_off_on_24d_plans_th.jpg","http://localhost:4000/JRWA-Archive/objects/tc_1980_hydro_backs_off_on_24d_plans.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides_001
"Herbicide Probe Ordered by A-G","","1980-08-03","","Hydroelectric; Herbicide; Hydro Pesticide; 2:4-D; Red Alder","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tc_1980_hydro_herbicide_probe_ordered_by_ag_th.jpg","http://localhost:4000/JRWA-Archive/objects/tc_1980_hydro_herbicide_probe_ordered_by_ag.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides_002
"Hydro, Workers Charged","","1980-10-17","","Hydroelectric; Herbicide; Hydro Pesticide; 2:4-D; Red Alder; Labor; Workers; Criminal Case","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/vs_1980_hydro_workers_charged_th.jpg","http://localhost:4000/JRWA-Archive/objects/vs_1980_hydro_workers_charged.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides_003
"Reseeding Denuded Ground To Perennial Grasses Stabilizes Soil and Provides Forage","J.A. Hall ","1949-03","","Hydroelectric; Forest Economics; Forest Management; Hydro Pesticide","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/hall_1948_us_department_of_agriculture_forest_service_annual_report_th.jpg","http://localhost:4000/JRWA-Archive/objects/hall_1948_us_department_of_agriculture_forest_service_annual_report.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides_004
"Hydro Staff Queried on Poison Comment","","1979-08-11","","Hydroelectric; Hydro Pesticide; Tordon 10K","","","","","","pdf","pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/tc_1979_bc_hydro_staff_queried_on_poison_control_th.jpg","http://localhost:4000/JRWA-Archive/objects/tc_1979_bc_hydro_staff_queried_on_poison_control.pdf",/JRWA-Archive/items/jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides.html#jrwa_docs_powergeneration_jordan_river_hydro_other_reports_hydropesticides_005
