identifier ,parentid,objectid,object_location,title,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
screen_shot_2022_06-08_at_5_38_17_pm,,jr-np-m-1900-49_001,/objects/screen_shot_2022_06-08_at_5_38_17_pm.png,"Killed, 2 Hurt in Trail Explosion",The Daily News,The Daily News,,,application/pdf,.png,Image,Mining; Iron,,/objects/small/screen_shot_2022_06-08_at_5_38_17_pm_sm.jpg,/objects/thumbs/screen_shot_2022_06-08_at_5_38_17_pm_th.jpg,
nelsonday_1903_magnetic_iron_found_in_jr_4_2_3,,jr-np-m-1900-49_002,/objects/nelsonday_1903_magnetic_iron_found_in_jr_4_2_3.pdf,Island Iron Industry,The Daily News,The Daily News,1905-05-03,,application/pdf,pdf,pdf,Mining; Iron,,/objects/small/nelsonday_1903_magnetic_iron_found_in_jr_4_2_3_sm.jpg,/objects/thumbs/nelsonday_1903_magnetic_iron_found_in_jr_4_2_3_th.jpg,
1929_nelsondaily_1_6_gobbro_copper_mine_in_jr_and_large_mill_to_be_built,,jr-np-m-1900-49_003,/objects/1929_nelsondaily_1_6_gobbro_copper_mine_in_jr_and_large_mill_to_be_built.pdf,Tidewater Mines take Option on Gabro Copper,The Daily News,The Daily News,1929-01-21,,application/pdf,pdf,pdf,Mining; Copper,,/objects/small/1929_nelsondaily_1_6_gobbro_copper_mine_in_jr_and_large_mill_to_be_built_sm.jpg,/objects/thumbs/1929_nelsondaily_1_6_gobbro_copper_mine_in_jr_and_large_mill_to_be_built_th.jpg,
1929_nelsondail_little_prospecting_done_but_no_new_ore_foudn,,jr-np-m-1900-49_004,/objects/1929_nelsondail_little_prospecting_done_but_no_new_ore_foudn.pdf,Controlled Properties Developed,The Daily News,The Daily News,1929-04-03,,application/pdf,pdf,pdf,Mining; Copper,,/objects/small/1929_nelsondail_little_prospecting_done_but_no_new_ore_foudn_sm.jpg,/objects/thumbs/1929_nelsondail_little_prospecting_done_but_no_new_ore_foudn_th.jpg,
1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr,,jr-np-m-1900-49_005,/objects/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr.pdf,Adopts Many Resolutions at the U.B.C.M. Meeting,The Abbotsford Post,The Abbotsford Post,1923-08-30,,application/pdf,pdf,pdf,Mining,,/objects/small/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr_sm.jpg,/objects/thumbs/1923_abpost_3_4_resolution_to_build_23_mile_highway_bt_pr_and_jr_th.jpg,
1922_cranherald_1_1_confirm_cmands_plans_to_build_500_ton_mill_at_sunloch_mine_jr,,jr-np-m-1900-49_006,/objects/1922_cranherald_1_1_confirm_cmands_plans_to_build_500_ton_mill_at_sunloch_mine_jr.pdf,Says Mining in B.C. Will Revive,E. A. Haggen,The Cranbrook Herald,1922-01-05,,application/pdf,pdf,pdf,Mining; Mill,,/objects/small/1922_cranherald_1_1_confirm_cmands_plans_to_build_500_ton_mill_at_sunloch_mine_jr_sm.jpg,/objects/thumbs/1922_cranherald_1_1_confirm_cmands_plans_to_build_500_ton_mill_at_sunloch_mine_jr_th.jpg,
1920nelsondaily_6_5_controlling_interest_of_sunloch_and_ok_ore_found_that_would_need_a_processing_machine_500_tonnes_to_extract,,jr-np-m-1900-49_007,/objects/1920nelsondaily_6_5_controlling_interest_of_sunloch_and_ok_ore_found_that_would_need_a_processing_machine_500_tonnes_to_extract.pdf,Controlled Properties,The Daily News,The Daily News,1920-04-23,,application/pdf,pdf,pdf,Mining; Copper; Sunloch Mines Ltd.; Development; Acquisition,,/objects/small/1920nelsondaily_6_5_controlling_interest_of_sunloch_and_ok_ore_found_that_would_need_a_processing_machine_500_tonnes_to_extract_sm.jpg,/objects/thumbs/1920nelsondaily_6_5_controlling_interest_of_sunloch_and_ok_ore_found_that_would_need_a_processing_machine_500_tonnes_to_extract_th.jpg,
1920_ledge_1_5_sunlock_consolidated_with_mining_and_smelting_company_of_trail,,jr-np-m-1900-49_008,/objects/1920_ledge_1_5_sunlock_consolidated_with_mining_and_smelting_company_of_trail.pdf,Mining News,The Ledge,The Ledge,1920-01-22,,application/pdf,pdf,pdf,Mining; Acquisition; Sunloch Mines Ltd.; Consolidated Mining and Smelting Company,,/objects/small/1920_ledge_1_5_sunlock_consolidated_with_mining_and_smelting_company_of_trail_sm.jpg,/objects/thumbs/1920_ledge_1_5_sunlock_consolidated_with_mining_and_smelting_company_of_trail_th.jpg,
1920_lede_4_2_new_smelter_to_be_built_on_vi_to_support_two_mines_one_jr_sunloch,,jr-np-m-1900-49_009,/objects/1920_lede_4_2_new_smelter_to_be_built_on_vi_to_support_two_mines_one_jr_sunloch.pdf,Mining News,The Ledge,The Ledge,1920-07-28,,application/pdf,pdf,pdf,Mining; Shiping; Tacoma,,/objects/small/1920_lede_4_2_new_smelter_to_be_built_on_vi_to_support_two_mines_one_jr_sunloch_sm.jpg,/objects/thumbs/1920_lede_4_2_new_smelter_to_be_built_on_vi_to_support_two_mines_one_jr_sunloch_th.jpg,
1920_dailycolonist_62y192uvic_0012_jordan_river_copper_mines_make_progress,,jr-np-m-1900-49_010,/objects/1920_dailycolonist_62y192uvic_0012_jordan_river_copper_mines_make_progress.jpg,Jordan River Copper Mines Make Progress,Daily Colonist,Daily Colonist,1920-07-28,,application/pdf,pdf,pdf,Mining; Smelting; Prospecting,Entry of Consolidated Company on Island Would Give Impetus to Development,/objects/small/1920_dailycolonist_62y192uvic_0012_jordan_river_copper_mines_make_progress_sm.jpg,/objects/thumbs/1920_dailycolonist_62y192uvic_0012_jordan_river_copper_mines_make_progress_th.jpg,
